year,country_code,metric_code,mean,sd,lobound_10,upbound_90
2018,USA,execution,4.13039875,0.654320121,3.292869091,4.96792841
2017,USA,exkill,4.13039875,0.654320121,3.292869091,4.96792841
2018,USA,exkill,4.13039875,0.654320121,3.292869091,4.96792841
2017,USA,express,5.582663536,0.309516072,5.186482906,5.978844166
2018,USA,express,5.588101387,0.309664816,5.191730499,5.984472275
2017,USA,physint,4.683328629,0.849790037,3.595597267,5.77105999
2018,USA,physint,4.995532036,0.831449151,3.931277037,6.059786797
2017,USA,polpart,4.706921577,0.066178694,4.622212887,4.791630268
2018,USA,polpart,4.70351696,0.052482624,4.636339188,4.770694733
2017,USA,tort,3.344442368,0.514173567,2.686300278,4.002584457
2018,USA,tort,3.850737095,0.570182562,3.120903492,4.580570698
2017,VEN,arrest,1.399126887,1.001600146,0.117078699,2.681174994
2018,VEN,arrest,1.219983935,0.922088444,0.039710727,2.400257111
2017,VEN,assem,3.663595676,0.195930317,3.412804842,3.914386511
2018,VEN,assem,3.582592964,0.264180005,3.244442463,3.920743465
2017,VEN,disap,4.52337265,0.250938952,4.202170849,4.844574451
2018,VEN,disap,4.025478363,0.167331234,3.811294317,4.23966217
2017,VEN,dpex,8.941744804,0.235960215,8.639716148,9.24377346
2018,VEN,dpex,8.941737175,0.235957593,8.63971138,9.24376297
2017,VEN,empower,2.742094278,0.842452347,1.663755298,3.820433378
2018,VEN,empower,2.877043486,0.827731192,1.81754756,3.936539412
2017,VEN,execution,3.353515625,0.394545078,2.848497868,3.858533382
2018,VEN,execution,3.83190155,0.216449827,3.55484581,4.108957291
2017,VEN,exkill,3.353515625,0.394545078,2.848497868,3.858533382
2018,VEN,exkill,3.83190155,0.216449827,3.55484581,4.108957291
2017,VEN,express,3.383198023,0.131311119,3.215119839,3.551276207
2018,VEN,express,3.381916046,0.13371858,3.210756302,3.55307579
2017,VEN,physint,3.899104834,0.846579075,2.81548357,4.982726097
2018,VEN,physint,3.926128387,0.821291208,2.874875546,4.977381229
2017,VEN,polpart,2.366332769,0.025454685,2.333750725,2.398914814
2018,VEN,polpart,3.015818834,0.092787676,2.897050619,3.134587049
2017,VEN,tort,2.447491884,0.472927511,1.842144728,3.052839041
2018,VEN,tort,2.430722713,0.512037456,1.775314808,3.086130619
2017,VNM,arrest,2.960594416,0.09821929,2.834873676,3.086315155
2018,VNM,arrest,3.409741402,0.093246982,3.290385246,3.529097557
2017,VNM,assem,2.249235868,0.11256545,2.10515213,2.393319607
2018,VNM,assem,2.271548271,0.108349562,2.132860899,2.410235643
2017,VNM,disap,7.164000511,0.021806149,7.136088848,7.191912174
2018,VNM,disap,7.164000511,0.021806149,7.136088848,7.191912174
2017,VNM,dpex,2.957005501,0.106723972,2.820398808,3.093612194
