country_code,year,metric_code,mean,low,high,sd
ALB,2010,ddi,0.715,0.594,0.811,0.63
ALB,2010,edi,0.546,0.482,0.605,0.063
ALB,2010,egdi,0.658,0.58,0.751,0.084
ALB,2010,ldi,0.785,0.735,0.846,0.056
ALB,2010,pdi,0.591,0.548,0.65,0.049
ALB,2011,ddi,0.737,0.629,0.841,0.632
ALB,2011,edi,0.546,0.482,0.605,0.063
ALB,2011,egdi,0.658,0.58,0.751,0.084
ALB,2011,ldi,0.788,0.741,0.853,0.056
ALB,2011,pdi,0.589,0.545,0.647,0.049
ALB,2012,ddi,0.737,0.629,0.841,0.632
ALB,2012,edi,0.543,0.479,0.6,0.063
ALB,2012,egdi,0.658,0.58,0.751,0.084
ALB,2012,ldi,0.791,0.737,0.848,0.056
ALB,2012,pdi,0.586,0.542,0.645,0.049
ALB,2013,ddi,0.378,0.252,0.5,0.631
ALB,2013,edi,0.51,0.445,0.566,0.061
ALB,2013,egdi,0.671,0.587,0.758,0.087
ALB,2013,ldi,0.795,0.748,0.865,0.06
ALB,2013,pdi,0.552,0.498,0.612,0.057
ALB,2014,ddi,0.405,0.286,0.542,0.634
ALB,2014,edi,0.518,0.46,0.588,0.064
ALB,2014,egdi,0.683,0.596,0.767,0.086
ALB,2014,ldi,0.807,0.753,0.869,0.059
ALB,2014,pdi,0.553,0.505,0.619,0.057
ALB,2015,ddi,0.434,0.316,0.57,0.632
ALB,2015,edi,0.521,0.45,0.577,0.063
ALB,2015,egdi,0.671,0.594,0.773,0.089
ALB,2015,ldi,0.807,0.753,0.869,0.059
ALB,2015,pdi,0.551,0.502,0.616,0.057
ALB,2016,ddi,0.425,0.292,0.539,0.628
ALB,2016,edi,0.521,0.45,0.577,0.063
ALB,2016,egdi,0.671,0.594,0.773,0.089
ALB,2016,ldi,0.807,0.753,0.869,0.059
ALB,2016,pdi,0.548,0.5,0.613,0.057
ALB,2017,ddi,0.355,0.241,0.483,0.631
ALB,2017,edi,0.538,0.469,0.593,0.063
ALB,2017,egdi,0.651,0.571,0.747,0.087
ALB,2017,ldi,0.775,0.722,0.84,0.061
ALB,2017,pdi,0.553,0.5,0.611,0.055
