country_code,metric_code,group,year,value,immediate_duty,immediate_duty_penalty,score_wrt_immediate_duty,global_best_penalty,score_wrt_global_best,immediate_duty_wrt_global_best,source_code
AFG,WaterInHome,All,2008,25.06607,53.83516787,0,46.56077243,0,25.06607,53.83516787, 
AFG,WaterInHome,All,2009,26.46026,63.07834615,0,41.94824629,0,26.46026,63.07834615, 
AFG,WaterInHome,All,2010,27.874,68.13230329,0,40.91157741,0,27.874,68.13230329, 
AFG,WaterInHome,All,2011,29.30799,66.89622377,0,43.81112766,0,29.30799,66.89622377, 
AFG,WaterInHome,All,2012,30.76207,70.69320745,0,43.51488793,0,30.76207,70.69320745, 
AFG,WaterInHome,All,2013,32.23649,71.51224568,0,45.07827952,0,32.23649,71.51224568, 
AFG,WaterInHome,All,2014,33.73153,71.2343914,0,47.35287175,0,33.73153,71.2343914, 
AFG,WaterInHome,All,2015,35.24793,70.54540138,0,49.96488688,0,35.24793,70.54540138, 
AFG,WaterInHome,All,2016,36.78548,70.31417342,0,52.31588201,0,36.78548,70.31417342, 
AFG,WaterInHome,All,2017,38.35094,70.34918075,0,54.51511956,0,38.35094,70.34918075, 
AGO,AdultSurvival,All,2007,70.29755,92.79703644,0,67.29584935,0,64.30215278,95.5514395, 
AGO,AdultSurvival,All,2008,71.191,93.00346538,0,68.38931891,0,65.54305556,95.83814637, 
AGO,AdultSurvival,All,2009,72.0844,92.91953906,0,69.76889378,0,66.78388889,95.72158203, 
AGO,AdultSurvival,All,2010,72.9779,92.95142489,0,71.03246971,0,68.02486111,95.7658679, 
AGO,AdultSurvival,All,2011,73.87135,92.94488346,0,72.33509942,0,69.26576389,95.75678259, 
AGO,AdultSurvival,All,2012,74.7648,93.07819579,0,73.48889099,0,70.50666667,95.9419386, 
AGO,AdultSurvival,All,2013,75.07765,93.11439095,0,73.90306027,0,70.94118056,95.99220965, 
AGO,AdultSurvival,All,2014,75.39055,93.14817462,0,74.31946003,0,71.37576389,96.03913141, 
AGO,AdultSurvival,All,2015,75.70345,93.07809831,0,74.84781901,0,71.81034722,95.9418032, 
AGO,AdultSurvival,All,2016,76.01635,92.90324657,0,75.49187098,0,72.24493056,95.69895356, 
AGO,AdultSurvival,All,2017,76.3292,92.79742361,0,76.06273208,0,72.67944444,95.55197724, 
AGO,AdultSurvival,Female,2007,73.9324,94.28890684,0,71.03880576,0,69.35055556,97.62348172, 
AGO,AdultSurvival,Female,2008,74.8344,94.40621612,0,72.20157935,0,70.60333333,97.78641128, 
AGO,AdultSurvival,Female,2009,75.7363,94.35864706,0,73.53225533,0,71.85597222,97.72034314, 
AGO,AdultSurvival,Female,2010,76.6383,94.37673983,0,74.79502478,0,73.10875,97.74547199, 
AGO,AdultSurvival,Female,2011,77.5403,94.37303008,0,76.08070868,0,74.36152778,97.74031955, 
AGO,AdultSurvival,Female,2012,78.4423,94.44843023,0,77.27964955,0,75.61430556,97.84504199, 
AGO,AdultSurvival,Female,2013,78.7542,94.46882821,0,77.69988716,0,76.0475,97.87337251, 
AGO,AdultSurvival,Female,2014,79.0661,94.48783892,0,78.12141902,0,76.48069444,97.89977628, 
AGO,AdultSurvival,Female,2015,79.3781,94.44837525,0,78.60805845,0,76.91402778,97.84496563, 
AGO,AdultSurvival,Female,2016,79.69,94.34939281,0,79.16201942,0,77.34722222,97.70749002, 
AGO,AdultSurvival,Female,2017,80.0019,94.28912783,0,79.67363052,0,77.78041667,97.62378865, 
AGO,AdultSurvival,Male,2007,66.6627,89.55174466,0,65.08247831,0,60.94671429,93.64534951, 
AGO,AdultSurvival,Male,2008,67.5476,89.81845191,0,66.16320915,0,62.21085714,94.02635988, 
AGO,AdultSurvival,Male,2009,68.4325,89.70971034,0,67.61938193,0,63.475,93.87101477, 
AGO,AdultSurvival,Male,2010,69.3175,89.75097419,0,68.92293317,0,64.73928571,93.92996313, 
AGO,AdultSurvival,Male,2011,70.2024,89.74250386,0,70.27782224,0,66.00342857,93.91786266, 
AGO,AdultSurvival,Male,2012,71.0873,89.91563645,0,71.4357056,0,67.26757143,94.16519493, 
AGO,AdultSurvival,Male,2013,71.4011,89.96282886,0,71.86032015,0,67.71585714,94.23261266, 
AGO,AdultSurvival,Male,2014,71.715,90.00694903,0,72.28784348,0,68.16428571,94.29564147, 
AGO,AdultSurvival,Male,2015,72.0288,89.91550946,0,72.86418689,0,68.61257143,94.16501351, 
AGO,AdultSurvival,Male,2016,72.3427,89.68864958,0,73.59368827,0,69.061,93.84092797, 
AGO,AdultSurvival,Male,2017,72.6565,89.55224249,0,74.22553089,0,69.50928571,93.64606071, 
AGO,BasicSanitation,All,2007,37.25930323,98.68482534,0,37.75585872,0,37.25930323,98.68482534, 
AGO,BasicSanitation,All,2008,38.52751004,99.06122145,0,38.89262566,0,38.52751004,99.06122145, 
AGO,BasicSanitation,All,2009,39.79427003,98.90881247,0,40.23329068,0,39.79427003,98.90881247, 
AGO,BasicSanitation,All,2010,41.06079306,98.96681617,0,41.48945541,0,41.06079306,98.96681617, 
AGO,BasicSanitation,All,2011,42.32666524,98.95492658,0,42.77368162,0,42.32666524,98.95492658, 
AGO,BasicSanitation,All,2012,43.59147281,99.19622279,0,43.94469022,0,43.59147281,99.19622279, 
AGO,BasicSanitation,All,2013,44.85479328,99.26137155,0,45.18856891,0,44.85479328,99.26137155, 
AGO,BasicSanitation,All,2014,46.11703098,99.32204019,0,46.43182006,0,46.11703098,99.32204019, 
AGO,BasicSanitation,All,2015,47.37447934,99.19604712,0,47.75843465,0,47.37447934,99.19604712, 
AGO,BasicSanitation,All,2016,48.62794479,98.87912746,0,49.17918072,0,48.62794479,98.87912746, 
AGO,BasicSanitation,All,2017,49.87697876,98.68553612,0,50.54132624,0,49.87697876,98.68553612, 
AGO,Contraception,All,2001,6.2,77.35535607,0,8.014958906,0,7.294117647,91.00630126, 
AGO,Contraception,All,2009,17.7,80.23244596,0,22.06090041,0,20.82352941,94.39111289, 
AGO,Contraception,All,2016,13.7,80.20642464,0,17.08092595,0,16.11764706,94.36049958, 
AGO,FoodSecure,All,2015,35.4,89.86311448,0,35.05712873,0,31.95652174,91.15555922, 
AGO,NetPrimEnrol,All,1998,45.34669113,100,18.2169296,27.12976153,18.2169296,27.12976153,100, 
AGO,NetPrimEnrol,All,2008,75.37373,100,20.34916324,55.02456676,20.34916324,55.02456676,100, 
AGO,NetPrimEnrol,All,2009,74.65254,100,20.26144543,54.39109457,20.26144543,54.39109457,100, 
AGO,NetPrimEnrol,All,2010,75.80242,100,19.82560113,55.97681887,19.82560113,55.97681887,100, 
AGO,NetPrimEnrol,All,2011,78.02393,100,18.52196279,59.50196721,18.52196279,59.50196721,100, 
AGO,NetPrimEnrol,Female,1998,41.96924973,100,18.09133023,23.8779195,18.09133023,23.8779195,100, 
AGO,NetPrimEnrol,Female,2008,70.36089,100,22.78361179,47.57727821,22.78361179,47.57727821,100, 
AGO,NetPrimEnrol,Female,2009,69.2545,100,22.7362983,46.5182017,22.7362983,46.5182017,100, 
AGO,NetPrimEnrol,Female,2010,68.62343,100,23.1761572,45.4472728,23.1761572,45.4472728,100, 
AGO,NetPrimEnrol,Female,2011,67.27698,100,23.63726822,43.63971178,23.63726822,43.63971178,100, 
AGO,NetPrimEnrol,Male,1998,48.76261139,100,18.17991138,30.58270001,18.17991138,30.58270001,100, 
AGO,NetPrimEnrol,Male,2008,80.44834,100,17.30166446,63.14667554,17.30166446,63.14667554,100, 
AGO,NetPrimEnrol,Male,2009,80.11782,100,17.10201266,63.01580734,17.10201266,63.01580734,100, 
AGO,NetPrimEnrol,Male,2010,83.07248,100,15.25976961,67.81271039,15.25976961,67.81271039,100, 
AGO,NetPrimEnrol,Male,2011,88.90347,100,10.71665029,78.18681971,10.71665029,78.18681971,100, 
AGO,NetSecEnrol,All,2008,9.15376,93.0416083,0,9.838350999,0,9.15376,93.0416083, 
AGO,NetSecEnrol,All,2009,9.63002,92.78272885,0,10.3791084,0,9.63002,92.78272885, 
AGO,NetSecEnrol,All,2010,11.29064,92.88113679,0,12.1560097,0,11.29064,92.88113679, 
AGO,NetSecEnrol,Female,2008,8.564,93.0416083,0,9.204484054,0,8.564,93.0416083, 
AGO,NetSecEnrol,Female,2009,9.04349,92.78272885,0,9.746954107,0,9.04349,92.78272885, 
AGO,NetSecEnrol,Female,2010,10.07569,92.88113679,0,10.84794001,0,10.07569,92.88113679, 
AGO,NetSecEnrol,Male,2008,9.75279,93.0416083,0,10.48218123,0,9.75279,93.0416083, 
AGO,NetSecEnrol,Male,2009,10.22569,92.78272885,0,11.02111366,0,10.22569,92.78272885, 
AGO,NetSecEnrol,Male,2010,12.52422,92.88113679,0,13.48413729,0,12.52422,92.88113679, 
AGO,NotAbsPoor,All,2000,44.4,95.5850168,0,46.45079478,0,44.4,95.5850168, 
AGO,NotAbsPoor,All,2008,44.3,100,3.114505141,41.18549486,3.114505141,41.18549486,100, 
AGO,NotStunted,All,2007,70.8,94.82149645,0,62.36143339,0,59.67016492,95.68440247, 
AGO,NotStunted,All,2016,62.4,94.99870304,0,49.06349427,0,47.07646177,95.95007952, 
AGO,NotStunted,Female,2007,73.89999962,94.82149645,0,67.21873037,0,64.31784051,95.68440247, 
AGO,NotStunted,Male,2007,67.59999847,94.82149645,0,57.34744641,0,54.87256143,95.68440247, 
AGO,U5Survival,All,2007,85.23,99.09003931,0,55.41967904,0,53.84375,97.15637285, 
AGO,U5Survival,All,2008,86.17,99.15049734,0,58.32972682,0,56.78125,97.34530418, 
AGO,U5Survival,All,2009,87.1,99.12594843,0,61.36359201,0,59.6875,97.26858883, 
AGO,U5Survival,All,2010,87.95,99.13528021,0,64.07522227,0,62.34375,97.29775066, 
