year,country_code,population,gdp_per_capita_2011ppp,gdp_per_capita_current_ppp,gdp_per_capita_current_usd
2007,BIH,3762786.00000000000,9335.3818228509300,8188.5898409906400,4193.37365178330000
2008,BIH,3754271.00000000000,9864.3099205696000,9028.8653808046700,5090.93234464687000
2009,BIH,3735938.00000000000,9615.0617420624300,9030.4643319263600,4714.70249505160000
2010,BIH,3705472.00000000000,9768.4937430594600,9347.5835172212400,4635.51777931783000
2011,BIH,3661175.00000000000,9976.4796621010900,9976.4796621010900,5092.55194328895000
2012,BIH,3604972.00000000000,10061.1312406675000,10304.0164615688000,4778.63608845506000
2013,BIH,3542605.00000000000,10478.9609955098000,11016.5828511677000,5131.39450642932000
2014,BIH,3482104.00000000000,10783.4235512218000,11433.1605263408000,5329.63504488766000
2015,BIH,3429361.00000000000,11287.4086889344000,12013.9824977044000,4727.27738086936000
2016,BIH,3386267.00000000000,11790.6345579212000,12824.0361342552000,4994.68314045091000
2017,BIH,3351527.00000000000,12166.3127304705000,13735.0785041602000,5394.59122017677000
2018,BIH,3323929.00000000000,12711.8397673642000,14623.6740532923000,6065.67270824158000
2006,BLR,9604924.00000000000,12429.2352111868000,11409.2555972678000,3847.43412382153000
2007,BLR,9560953.00000000000,13560.2284948669000,12781.8090928852000,4735.65760793999000
2008,BLR,9527985.00000000000,14995.0776294825000,14409.2218838145000,6377.36973201232000
2009,BLR,9506765.00000000000,15058.6044544366000,14580.5808004276000,5351.35538243278000
2010,BLR,9490583.00000000000,16260.5926799472000,15927.8747037149000,6181.39991568753000
2011,BLR,9473172.00000000000,17166.6956434719000,17166.6956434719000,6519.23019498892000
2012,BLR,9464495.00000000000,17472.3249308517000,17807.4177409892000,6940.15925359735000
2013,BLR,9465997.00000000000,17644.8544069875000,18298.8470648279000,7978.87261471076000
2014,BLR,9474511.00000000000,17933.3427177555000,18949.8824399700000,8318.51268992675000
2015,BLR,9489616.00000000000,17219.1206477761000,18389.7437502613000,5949.10630699748000
2016,BLR,9501534.00000000000,16763.0361063249000,18098.4228594571000,5022.62664330491000
2017,BLR,9498264.00000000000,17193.4241428478000,18915.9398913696000,5761.74712023007000
2018,BLR,9483499.00000000000,17741.8622306394000,19994.8040788005000,6289.93855308212000
2006,BLZ,291329.00000000000,7859.4357812664500,7214.4673550045800,4178.92537303186000
2007,BLZ,299025.00000000000,7741.8141241767800,7297.3984328721700,4315.83496363180000
2008,BLZ,306823.00000000000,7788.6724497768900,7484.3700234355800,4460.63414411566000
2009,BLZ,314655.00000000000,7645.7525991251700,7403.0441458856100,4243.43328407303000
2010,BLZ,322464.00000000000,7713.0252564620700,7555.2043083287400,4270.79964683667000
2011,BLZ,330237.00000000000,7694.3551108735200,7694.3551108735200,4423.49043867262000
2012,BLZ,338000.00000000000,7738.4893920054700,7886.9019339452700,4505.62068023889000
2013,BLZ,345715.00000000000,7630.2523663146300,7913.0616720725200,4568.54205131289000
2014,BLZ,353366.00000000000,7740.6810333962400,8179.4564402616000,4705.61004483148000
2015,BLZ,360933.00000000000,7838.4836308737900,8371.3743756713600,4775.91507722419000
2016,BLZ,368400.00000000000,7634.4496169031000,8242.6295922490500,4818.40439383538000
2017,BLZ,375769.00000000000,7592.3118710567400,8352.9443464106400,4887.55982047899000
2018,BLZ,383071.00000000000,7673.6535869853900,8648.0887995729100,4884.74242133376000
2006,BMU,64523.00000000000,58784.5932914465000,53960.5565948174000,83912.69779768460000
2007,BMU,64888.00000000000,60117.4599095649000,56666.4415724346000,90849.58698064360000
2008,BMU,65273.00000000000,60675.9820859495000,58305.3793049938000,93605.74816539760000
2009,BMU,65636.00000000000,57151.9191321066000,55337.6760327660000,88463.31281613750000
2010,BMU,65124.00000000000,56395.0078003539000,55241.0749004741000,88207.32755973220000
2011,BMU,64564.00000000000,54984.5103947777000,54984.5103947777000,85973.15841645500000
2012,BMU,64798.00000000000,52137.3003731125000,53137.2150704497000,85458.45550788600000
2013,BMU,65001.00000000000,50669.3147696996000,52547.3330901036000,85748.06541437820000
2014,BMU,65139.00000000000,,,
2015,BMU,65239.00000000000,,,
2016,BMU,64555.00000000000,,,
2017,BMU,63874.00000000000,,,
2018,BMU,63973.00000000000,,,
2006,BOL,9395446.00000000000,4778.7213936392000,4386.5654548953700,1218.87445946804000
2007,BOL,9558439.00000000000,4911.6330980546700,4629.6827975572700,1372.62822482990000
2008,BOL,9721454.00000000000,5126.1996268880700,4925.9196697540900,1715.20892185853000
2009,BOL,9884781.00000000000,5210.7422205436100,5045.3312726765600,1754.21106094735000
2010,BOL,10048590.00000000000,5337.3256276586100,5228.1153290993400,1955.46155736098000
2011,BOL,10212954.00000000000,5524.7177977738400,5524.7177977738400,2346.33717022581000
2012,BOL,10377676.00000000000,5715.5248479851400,5825.1399845111600,2609.88081915425000
